Ensembl,CON-25-1,CON-25-2,CON-25-3,CDDP-25-1,CDDP-25-2,CDDP-25-3,CDDP-50-1,CDDP-50-2,CDDP-50-3,symbol
ENSG00000181085,96.82733371,95.83393882,91.91286128,84.2759669,90.85666017,98.29738722,132.259107,150.1238893,162.1350314,MAPK15
ENSG00000180921,1651.718824,1778.812408,1433.518135,7402.877547,7011.255539,8192.505896,7068.347502,7463.073774,5273.401764,FAM83H
ENSG00000265660,49.47382014,63.88929255,54.8252155,87.14901123,82.76052214,69.75943609,67.63249789,105.406135,61.00129895,MIR4664
ENSG00000203499,110.255942,96.6745874,97.55663346,316.9925573,300.4566782,304.404812,112.7208298,186.8563303,152.5032474,IQANK1
ENSG00000254973,2.120306578,1.681297172,3.225012676,7.661451537,0.899570893,6.341766917,6.011777591,1.597062652,1.605297341,AC105219.3
ENSG00000180900,4266.763603,4599.188415,4361.023392,8130.715443,8392.99643,8914.410363,8493.138791,11104.37662,8752.081102,SCRIB
ENSG00000179950,3750.822336,3803.094204,3742.627211,4122.818608,4048.968589,4374.762212,5406.090998,5283.083254,5222.03225,PUF60
ENSG00000185189,1265.116258,1413.970922,1241.62988,1141.556279,1122.664474,1275.752111,1336.11757,1300.008999,1298.685549,NRBP2
ENSG00000261150,29.68429209,33.62594344,17.73756972,236.5473162,203.3030218,173.3416291,157.8091618,188.453393,155.7138421,EPPK1
ENSG00000178209,9783.094549,10602.25997,10465.16614,22531.37129,22983.13674,24496.13168,24194.39891,34157.97601,21432.3248,PLEC
ENSG00000178685,931.5213564,949.9329023,1028.779044,7337.755209,7221.755127,7664.025319,5138.566896,6313.188664,4896.156889,PARP10
ENSG00000178719,5119.126847,5122.912484,5091.488763,9285.679262,9281.772472,9829.738722,12318.13228,12148.8556,11444.16474,GRINA
ENSG00000186583,9.894764029,14.29102596,10.4812912,17.23826596,15.29270518,26.42402882,36.07066554,33.5383157,35.3165415,SPATC1
ENSG00000204791,9.894764029,10.92843162,10.4812912,30.64580615,27.88669768,67.64551378,156.3062174,177.2739544,170.1615181,SMPD5
ENSG00000178814,643.8664307,608.6295764,537.7708638,624.4083002,613.5073489,682.7969047,1221.893795,1093.987917,1305.106738,OPLAH
ENSG00000255224,24.73691007,22.69751183,20.9625824,102.4719143,94.45494374,125.7783772,180.3533277,154.9150773,150.89795,AC109322.1
ENSG00000178896,284.8278503,303.4741396,324.113774,504.69812,515.4541216,509.4552757,646.266091,630.8397476,581.1176374,EXOSC4
ENSG00000197858,5035.021353,5160.74167,4989.09461,4613.151507,4913.456217,6699.019787,9993.0773,8817.382903,8655.763261,GPAA1
ENSG00000179091,3854.010589,4004.849864,3564.445261,4200.390805,4102.043271,4662.255645,7637.963429,7905.460129,7610.714693,CYC1
