"","gene_id","baseMean","logFC","lfcSE","P.Value","adj.P.Val","gene","entrez"
"1","ENSG00000000003",1368.86334433054,0.267997256386379,0.131401554033559,0.0395508196613122,0.0659592679562796,"TSPAN6","7105"
"2","ENSG00000000005",0.697576689522608,0.483764307755587,1.52890725068926,0.407465156984077,NA,"TNMD","64102"
"3","ENSG00000000419",1036.92436979775,0.314256059944761,0.117870484856095,0.00723034813960156,0.0142052826674149,"DPM1","8813"
"4","ENSG00000000457",442.248129428095,0.25176836160824,0.184342013024234,0.164312180041696,0.226307549409404,"SCYL3","57147"
"5","ENSG00000000460",364.564666405071,-1.0176762315358,0.152039843258253,1.13726913504328e-11,5.51696995158356e-11,"C1orf112","55732"
"6","ENSG00000000938",0.503939244728988,0.170803273917556,1.48424887503932,0.761421501002731,NA,"FGR","2268"
"7","ENSG00000000971",2492.19368366452,-1.88827192206229,0.150945427018173,6.56543133758349e-37,1.08437935634283e-35,"CFH","3075"
"8","ENSG00000001036",2115.93127693921,-0.103356400353522,0.115297596163741,0.36665791980123,0.448350722851967,"FUCA2","2519"
"9","ENSG00000001084",1618.91490466526,0.260386014401807,0.131489891948846,0.0456495637692444,0.0750886493574043,"GCLC","2729"
"10","ENSG00000001167",1029.89767833237,0.103773207265852,0.112122609203908,0.351490186597717,0.432542261135026,"NFYA","4800"
"11","ENSG00000001460",112.801379454145,-0.790998205069921,0.266591023920318,0.00200534870711722,0.00433311494489155,"STPG1","90529"
"12","ENSG00000001461",367.358102504202,-0.309518335599108,0.185827394129364,0.0897545712999215,0.135147054470696,"NIPAL3","57185"
"13","ENSG00000001497",909.922746324822,-0.397715115510238,0.138421502151388,0.00369429520606873,0.00765545611010879,"LAS1L","81887"
"14","ENSG00000001561",649.741618055602,-0.0177533166030821,0.158237302383395,0.909486589644792,0.932293124262039,"ENPP4","22875"
"15","ENSG00000001617",235.293293183667,2.57938678235863,0.216404978862562,6.58652968761006e-34,9.76119719927564e-33,"SEMA3F","6405"
"16","ENSG00000001626",7.25612093901452,0.338029063917824,0.773564804793349,0.55787600595332,0.634884224109924,"CFTR","1080"
"17","ENSG00000001629",963.348908350066,-1.17178080243945,0.176082284848992,1.16391889643977e-11,5.6429015166986e-11,"ANKIB1","54467"
"18","ENSG00000001630",176.47505840053,-1.02008021855989,0.255864446998532,3.40198519536309e-05,9.38482632849741e-05,"CYP51A1","1595"
"19","ENSG00000001631",125.038111651118,-0.519237347055773,0.253890878956001,0.0341380735300529,0.0577531059092017,"KRIT1","889"
"20","ENSG00000002016",366.441194251503,1.06271416368121,0.156703113539833,5.80430394491983e-12,2.85523792332629e-11,"RAD52","5893"
"21","ENSG00000002079",21.7798680938072,-0.280460245405555,0.547342640186717,0.549180233382488,0.626587132352063,NA,NA
"22","ENSG00000002330",593.101676777101,-0.787575741360899,0.135479184624359,4.22203193011389e-09,1.69815967776162e-08,"BAD","572"
"23","ENSG00000002549",2132.49791246609,0.494127576291298,0.119936080943598,3.28791309703741e-05,9.0837511094498e-05,"LAP3","51056"
"24","ENSG00000002586",1157.31020473617,-0.519074851858598,0.162445879480521,0.00118676422574683,0.0026555757836778,"CD99","4267"
"25","ENSG00000002587",190.194588123809,-1.81722624172257,0.226220239178863,1.10091220817028e-16,7.09833694263732e-16,"HS3ST1","9957"
"26","ENSG00000002745",1.16209533160514,1.11285942153226,1.5215142973217,0.127070197966279,NA,"WNT16","51384"
"27","ENSG00000002746",6.11715729919767,-2.93929754145439,1.51048580771137,0.00229329605441648,0.00491675457400988,"HECW1","23072"
"28","ENSG00000002822",14.8527050838252,3.24123286037115,0.843056670010331,7.04473365533197e-06,2.10663475206446e-05,"MAD1L1","8379"
"29","ENSG00000002834",14527.9701463097,-1.20574985882889,0.122177894394417,2.21761958145695e-23,2.03256933760817e-22,"LASP1","3927"
"30","ENSG00000002919",551.43607050857,0.528427858257177,0.14458249141373,0.000218014055851591,0.000544579972285566,"SNX11","29916"
"31","ENSG00000003056",3838.68228866499,0.757597579316682,0.109971813657284,4.00163844173827e-12,1.98479648251799e-11,"M6PR","4074"
"32","ENSG00000003096",70.9788670917699,-5.08591746592635,0.557510336024086,5.78096459295121e-21,4.67181939279454e-20,"KLHL13","90293"
