"","gene_id","baseMean","logFC","lfcSE","P.Value","adj.P.Val","symbol","entrez"
"1","ENSG00000136205",4928.02438647597,-4.83880251738437,0.122095220813937,0,0,"TNS3","64759"
"2","ENSG00000148498",2598.47721136586,-4.4392384657342,0.114585602297527,0,0,"PARD3","56288"
"3","ENSG00000198753",2145.77387566391,4.24386247719081,0.113199092213571,0,0,"PLXNB3","5365"
"4","ENSG00000168394",4769.84798743611,4.17636927634708,0.111122821908251,0,0,"TAP1","6890"
"5","ENSG00000038382",2685.05795195218,-3.91694153723198,0.108791851374741,1.14523994399654e-284,5.61786002128061e-281,"TRIO","7204"
"6","ENSG00000130513",15976.5056694851,4.55718772445988,0.128378398738035,7.02464976200119e-277,2.87155974521005e-273,"GDF15","9518"
"7","ENSG00000152767",3988.82548620633,-3.32986112906841,0.0949999441317066,5.1382806221265e-270,1.80038012598424e-266,"FARP1","10160"
"8","ENSG00000150760",1458.53659340655,-5.19389086549301,0.148657979448076,1.73791021770004e-268,5.32821548869112e-265,"DOCK1","1793"
"9","ENSG00000187608",1399.88474569951,4.88180735274023,0.140858557348863,3.84567669195225e-264,1.04803235803903e-260,"ISG15","9636"
"10","ENSG00000143641",4878.23867128548,-3.51544214395008,0.102610370852955,4.60348202300855e-258,1.12909603578331e-254,"GALNT2","2590"
"11","ENSG00000162981",1286.38184137072,5.19012306211527,0.153621426821948,2.93365004122906e-251,6.54123950556592e-248,"LRATD1","151354"
"12","ENSG00000161509",1209.44957168074,5.50359817810787,0.16347901377989,1.28810602345889e-249,2.63278136978136e-246,"GRIN2C","2905"
"13","ENSG00000197852",1894.88708382439,4.15801780953746,0.12521399562394,1.29146376406566e-242,2.43659474932603e-239,"INKA2","55924"
"14","ENSG00000278540",1877.48176735907,-3.8272715822226,0.117509318341482,1.72411649059575e-233,3.02052894034586e-230,"ACACA","31"
"15","ENSG00000219626",1220.25867378372,4.11940937711355,0.126964925596908,9.72941062896854e-232,1.59088836331141e-228,"FAM228B","375190"
"16","ENSG00000186594",1372.65643082453,4.603770644416,0.142987566043725,2.53222472737902e-228,3.88174224302658e-225,"MIR22HG","84981"
"17","ENSG00000197019",1368.21745426494,5.4821694856185,0.17161753022432,4.61443613019824e-225,6.65754558619837e-222,"SERTAD1","29950"
"18","ENSG00000145819",1270.56408084878,-4.7782684594177,0.151583926700175,5.10394215469774e-219,6.95468829045953e-216,"ARHGAP26","23092"
"19","ENSG00000122870",2314.9557849376,-4.4955018820617,0.143074945183431,1.44752347472575e-217,1.86860043497887e-214,"BICC1","80114"
"20","ENSG00000153815",1155.89349321666,-4.72130063521979,0.150315245310827,1.84800053186685e-217,2.26629545225492e-214,"CMIP","80790"
"21","ENSG00000159388",3945.03851846516,3.52888649759997,0.112829380562322,1.46474843294576e-215,1.71075641975527e-212,"BTG2","7832"
"22","ENSG00000173846",1891.66253290092,3.38595618186715,0.109995469203033,6.29427424555309e-209,7.0172574736673e-206,"PLK3","1263"
