"","gene_id","baseMean","logFC","lfcSE","P.Value","adj.P.Val","symbol","entrez"
"23","ENSG00000164938",6151.87724024143,3.03729086733848,0.0990159039439461,1.36387524068987e-207,1.45442469688697e-204,"TP53INP1","94241"
"24","ENSG00000125257",1723.566580458,-4.39238921583095,0.14321516226245,2.04500437609767e-207,2.08990926385615e-204,"ABCC4","10257"
"25","ENSG00000075391",1380.52869387778,-3.71428951823426,0.121397562630517,2.15117030119663e-206,2.11047015909799e-203,"RASAL2","9462"
"26","ENSG00000113719",3266.45626088386,-3.21369754565817,0.105444469227631,6.55324504000115e-205,6.18197850369646e-202,"ERGIC1","57222"
"27","ENSG00000134013",1965.18236873917,-4.09199093548961,0.135239826749179,6.45858939441403e-202,5.86703044728863e-199,"LOXL2","4017"
"28","ENSG00000177119",2579.06490971929,-3.08821878712401,0.103294552764634,2.46559930701333e-197,2.15977693582557e-194,"ANO6","196527"
"29","ENSG00000162241",1555.74575527982,4.1258401795701,0.138332137164293,2.78971974258411e-196,2.35942952159863e-193,"SLC25A45","283130"
"30","ENSG00000132561",1204.91196432222,-4.98497068942829,0.167551838868745,1.70739948290216e-195,1.39591290390471e-192,"MATN2","4147"
"31","ENSG00000128335",1395.30433741705,3.63123572611656,0.123108074987538,4.92127178370571e-192,3.89367848512742e-189,"APOL2","23780"
"32","ENSG00000197157",2228.36122056165,-3.52251896913093,0.119594667754561,1.67402036065139e-191,1.28308429330302e-188,"SND1","27044"
"33","ENSG00000042445",8959.07985975474,3.44586775491425,0.11728933749889,1.46318722250439e-190,1.0875028183747e-187,"RETSAT","54884"
"34","ENSG00000117020",1783.88476661785,-4.07901899498939,0.138864369302012,1.81734059352225e-190,1.3109974334506e-187,"AKT3","10000"
"35","ENSG00000136003",6738.82474957871,3.41897107051718,0.117187210337433,5.69940089688278e-188,3.99397730850983e-185,"ISCU","23479"
"36","ENSG00000185630",900.653520293376,-5.43595388109809,0.186487138620998,6.26933861382547e-188,4.27133522725826e-185,"PBX1","5087"
"37","ENSG00000152818",1179.96068100632,-5.35067074818281,0.184821501064571,2.18026554127074e-185,1.44528034947966e-182,"UTRN","7402"
"38","ENSG00000161513",6245.84211776092,3.69107348527122,0.127478592856286,3.82238433592336e-185,2.46714791071559e-182,"FDXR","2232"
"39","ENSG00000157985",1062.49945078679,-4.09709744310411,0.14171388657396,1.33532922449755e-184,8.39785125365421e-182,"AGAP1","116987"
"40","ENSG00000108175",1690.22357268225,-3.70629815818303,0.128563258456004,1.46016979765565e-183,8.95339615677501e-181,"ZMIZ1","57178"
"41","ENSG00000124762",20346.8376978853,3.36027386453415,0.117166037521397,9.50510922676828e-182,5.68614180499868e-179,"CDKN1A","1026"
"42","ENSG00000115129",5220.3943125144,4.48754196672939,0.156576845974987,1.63091213623191e-181,9.52413856318095e-179,"TP53I3","9540"
"43","ENSG00000132182",1916.86517285643,-3.6260947714023,0.126749330379974,8.08223894805867e-181,4.61007150416361e-178,"NUP210","23225"
"44","ENSG00000183049",964.313816265566,-6.14695083761811,0.216329758499935,4.91732977888752e-179,2.74107607924487e-176,"CAMK1D","57118"
"45","ENSG00000182985",1388.9737885036,-3.54806937398414,0.125343569588194,4.27418884423392e-177,2.32962288405612e-174,"CADM1","23705"
"46","ENSG00000150938",6167.31232278957,-3.85865913437808,0.136340101386522,5.16878567826494e-177,2.75597405066966e-174,"CRIM1","51232"
"47","ENSG00000080546",1915.99761272399,3.47422611938413,0.122812107636989,6.89654329210415e-177,3.59896845373274e-174,"SESN1","27244"
"48","ENSG00000160293",962.280122075177,-4.39008889144457,0.155598029400112,5.54712065754967e-176,2.83446309099418e-173,"VAV2","7410"
"49","ENSG00000082781",3593.39886940934,-3.07741980904876,0.110138169876248,9.53670547802572e-173,4.7736076583579e-170,"ITGB5","3693"
"50","ENSG00000041982",5127.45356568106,-4.77759260875172,0.171607297928072,1.66855165700789e-171,8.18491329828649e-169,"TNC","3371"
"51","ENSG00000135423",931.221263385157,3.95019536676191,0.141841218624877,1.71349407558846e-171,8.24056258665848e-169,"GLS2","27165"
"52","ENSG00000087085",690.329730150706,4.6848882746139,0.168317714362071,2.11522268725445e-171,9.97693593274807e-169,"ACHE","43"
"53","ENSG00000075420",1588.85803952439,-4.32741057466621,0.155506925391334,2.90428993720444e-171,1.34402866584553e-168,"FNDC3B","64778"
"54","ENSG00000011105",945.201297976357,-4.21367808504599,0.151755106541176,1.66089835049488e-170,7.54386182270148e-168,"TSPAN9","10867"
"55","ENSG00000157483",1594.69092862121,-3.50303325260505,0.126761434862501,6.25489891397224e-169,2.78934373932722e-166,"MYO1E","4643"
"56","ENSG00000197321",3653.40361098939,-3.5694617422492,0.129250997807362,1.06120547047697e-168,4.64789045971226e-166,"SVIL","6840"
"57","ENSG00000172164",1293.30795233745,-4.15070796858646,0.150986669649734,3.46305161399102e-167,1.49014503397119e-164,"SNTB1","6641"
"58","ENSG00000039068",1160.36974889511,-3.85303389530844,0.141024006809865,3.66058075427528e-165,1.54798386482948e-162,"CDH1","999"
"59","ENSG00000064042",808.675322752731,-4.48768960556221,0.164367996136742,5.37839820551143e-165,2.23586394553523e-162,"LIMCH1","22998"
"60","ENSG00000162231",8752.5347508937,3.85165563922509,0.141526751581847,6.75878425961515e-164,2.76287835892635e-161,"NXF1","10482"
"61","ENSG00000011426",3042.18788654685,-2.80233705509792,0.103138233933485,1.26815707168858e-163,5.09903090119768e-161,"ANLN","54443"
"62","ENSG00000141682",6910.72324794588,4.81116325673176,0.177806333182203,3.51313931948226e-162,1.3897865820797e-159,"PMAIP1","5366"
"63","ENSG00000140262",966.039445002841,-3.79485695818925,0.140765046483351,7.03150206367161e-161,2.73748652564561e-158,"TCF12","6938"
"64","ENSG00000142192",18053.1664021951,-2.63252213240897,0.0979309229304965,2.72459766764044e-160,1.04415948428464e-157,"APP","351"
"65","ENSG00000167291",1346.47234329034,-3.10485180823756,0.11587990799435,4.44835211152788e-159,1.6785343421453e-156,"TBC1D16","125058"
"66","ENSG00000091436",1544.45411770496,-3.32067141076705,0.124995784064773,2.2513784619022e-156,8.36659992955684e-154,"MAP3K20","51776"
"67","ENSG00000047849",5691.46626105264,-3.04728371854559,0.114827405346851,3.91600085929354e-156,1.43354855337153e-153,"MAP4","4134"
"68","ENSG00000162337",1882.2621838584,-3.05858178327974,0.115269906474513,4.38176163726817e-156,1.58046275995995e-153,"LRP5","4041"
"69","ENSG00000157110",1637.23534233793,-3.11787654580388,0.117704851448711,1.52638031776867e-155,5.42572899332059e-153,"RBPMS","11030"
"70","ENSG00000182197",2230.8451099312,-3.5134398843969,0.13301203929701,1.3797517630744e-154,4.83445307041796e-152,"EXT1","2131"
"71","ENSG00000175793",3682.49291382449,3.94773958125805,0.149791898089699,7.05609353120473e-154,2.43753247943463e-151,"SFN","2810"
"72","ENSG00000153317",1480.60475382325,-3.48717247725964,0.132868245929296,1.1804399110245e-152,4.0212013469025e-150,"ASAP1","50807"
"73","ENSG00000178685",5816.1951433357,2.44733971507202,0.0935645919009054,5.52636297857905e-152,1.85678225720011e-149,"PARP10","84875"
"74","ENSG00000138160",1300.43455623041,-3.56210477855751,0.13612267747664,9.13143882110514e-152,3.02657837790873e-149,"KIF11","3832"
"75","ENSG00000266028",704.73766068703,-4.25223983171025,0.16271155014982,2.24071442698409e-151,7.32773370008516e-149,"SRGAP2","23380"
"76","ENSG00000076003",2254.62585536536,-2.79895621454567,0.107472127811592,1.39269150539317e-150,4.49454533589186e-148,"MCM6","4175"
"77","ENSG00000090530",1507.58493323631,-3.66676201198054,0.141889223766013,4.54415142513058e-148,1.44745976628802e-145,"P3H2","55214"
"78","ENSG00000160285",2336.94129772186,-2.74330634906663,0.106271343918341,5.0993176788253e-148,1.60347390651985e-145,"LSS","4047"
"79","ENSG00000134369",739.207239907549,-4.46950556254346,0.173241238986901,1.23818322209311e-147,3.84416707446552e-145,"NAV1","89796"
"80","ENSG00000204261",943.432818218946,3.83748997044624,0.149040892306295,5.31812197340725e-147,1.63046972052199e-144,"PSMB8-AS1","100507463"
"81","ENSG00000173530",7752.88913594853,3.92453939552312,0.152663524344194,1.5197204546139e-146,4.60175106053274e-144,"TNFRSF10D","8793"
"82","ENSG00000067141",638.829740814905,-4.61158003201782,0.180767915124708,1.91094198562197e-144,5.71581391235977e-142,"NEO1","4756"
"83","ENSG00000177595",4030.85211948547,3.34251043035612,0.131054091386758,2.37872197149712e-144,7.02926672227831e-142,"PIDD1","55367"
"84","ENSG00000131791",1686.65764521223,3.29633520204244,0.130167918229356,2.3259226604457e-142,6.79141727294664e-140,"PRKAB2","5565"
"85","ENSG00000172292",906.504784673364,-3.46066846927595,0.137686693846239,3.02162895648232e-140,8.71899922536964e-138,"CERS6","253782"
"86","ENSG00000120594",618.388630797099,-4.97601658779472,0.198629606077071,1.73357958894551e-139,4.94412867186821e-137,"PLXDC2","84898"
"87","ENSG00000164684",647.128426877447,-4.84458082307572,0.194120051307958,2.04248068782696e-138,5.69271861708316e-136,"ZNF704","619279"
"88","ENSG00000196498",2851.84531873108,-2.7594408365397,0.11080179336216,5.62156085915105e-138,1.54921374373481e-135,"NCOR2","9612"
"89","ENSG00000090238",1924.70405621353,3.50647890859272,0.14089583614154,1.50831617188914e-137,4.11049674976943e-135,"YPEL3","83719"
"90","ENSG00000161642",4972.32537264328,2.70463100397917,0.109004168318524,5.29395684767938e-137,1.42686680882453e-134,"ZNF385A","25946"
"91","ENSG00000131558",795.943164372298,-4.07108347113369,0.163984242359323,7.20503191302595e-137,1.92084584489986e-134,"EXOC4","60412"
"92","ENSG00000058091",623.331224801673,-5.39045106877062,0.217756714103839,2.09742087955027e-136,5.53155289384189e-134,"CDK14","5218"
"93","ENSG00000182871",9924.86612842338,-2.14727951706616,0.0868298652518765,3.58098319240098e-136,9.34369944255518e-134,"COL18A1","80781"
"94","ENSG00000079819",1953.57274031121,-2.69729480822956,0.109907608523896,4.23296633066085e-134,1.09286279149598e-131,"EPB41L2","2037"
"95","ENSG00000167034",673.676093301789,4.25819494951765,0.173630450520045,1.19327260866557e-133,3.04868721591046e-131,"NKX3-1","4824"
"96","ENSG00000173482",851.188922723158,-3.84439334091048,0.157122658966924,5.11391752632485e-133,1.29308304297082e-130,"PTPRM","5797"
"97","ENSG00000143776",1730.92211599261,-3.14036771655006,0.128411850456009,5.24165409572859e-133,1.31185765312179e-130,"CDC42BPA","8476"
"98","ENSG00000107249",596.850780006546,-4.2265950722494,0.173456622649124,5.70568649426111e-132,1.41356942065396e-129,"GLIS3","169792"
"99","ENSG00000157827",1017.78316869526,-3.35704592775169,0.137852399813492,7.48652567770534e-132,1.83622015297079e-129,"FMNL2","114793"
"100","ENSG00000068489",950.31400531644,-3.77386627671126,0.155304449652746,3.0583167805078e-131,7.4268649183678e-129,"PRR11","55771"
"101","ENSG00000068650",601.934879357525,-4.5463788740189,0.187233765167559,4.03443846855571e-131,9.70124238414372e-129,"ATP11A","23250"
"102","ENSG00000179630",869.554687910363,3.47956440732633,0.143458085414657,8.50871241468605e-131,2.02614746985441e-128,"LACC1","144811"
"103","ENSG00000176531",834.195532588313,3.28019603232201,0.135315857915232,1.07842512786626e-130,2.54332049145922e-128,"PHLDB3","653583"
"104","ENSG00000119487",1899.6905604827,-3.41536985403991,0.141229395840015,4.72358893356957e-130,1.10338538832058e-127,"MAPKAP1","79109"
"105","ENSG00000166619",3500.27715669817,2.62167772336111,0.108557329517602,5.53080329887297e-130,1.27975483501375e-127,"BLCAP","10904"
"106","ENSG00000172409",2652.36928077213,3.88600138394256,0.160723974821993,5.89244254577477e-130,1.35069101233848e-127,"CLP1","10978"
"107","ENSG00000204604",1962.17730433388,3.16608300906789,0.13107098271098,7.92908527989196e-130,1.80070995055472e-127,"ZNF468","90333"
"108","ENSG00000156802",2810.0836640883,-2.7455679702223,0.113994072429408,2.9634807670701e-129,6.66837548384664e-127,"ATAD2","29028"
"109","ENSG00000146038",612.120193585441,-4.18625498557172,0.174761132827277,1.25374136180149e-127,2.795501307355e-125,"DCDC2","51473"
"110","ENSG00000107745",778.157612286675,-3.6998836362721,0.154754742210953,3.88266304035e-127,8.57928616132112e-125,"MICU1","10367"
"111","ENSG00000145703",685.151592580229,-6.01212776994729,0.252358061144246,7.94772849636861e-127,1.74048157884315e-124,"IQGAP2","10788"
"112","ENSG00000234127",3403.95795418979,2.39170699877061,0.100387055368199,1.21200980470635e-126,2.63070482124182e-124,"TRIM26","7726"
"113","ENSG00000134871",4470.96948577768,-2.87452960131044,0.12080304511416,3.51296608775707e-126,7.55811572231733e-124,"COL4A2","1284"
"114","ENSG00000116962",1076.41805024894,-3.10493868014827,0.13061874847859,7.69557934969849e-126,1.64129978008743e-123,"NID1","4811"
"115","ENSG00000134030",677.446379631261,-4.55074230991279,0.19187296588669,3.13884359357678e-125,6.63676007066014e-123,"CTIF","9811"
"116","ENSG00000167323",989.412255651906,-3.0983376313981,0.131246451721448,3.74760890784761e-124,7.8562054429725e-122,"STIM1","6786"
"117","ENSG00000151136",745.707733585797,-3.47788487055358,0.147555629550992,1.1328851068058e-123,2.35476889954457e-121,"BTBD11","121551"
"118","ENSG00000164808",639.585563469334,-4.16534505707187,0.176908687027067,2.1169549236736e-123,4.3632397826002e-121,"SPIDR","23514"
"119","ENSG00000100292",705.308860969058,3.22888845553544,0.137349905202205,4.2286276423827e-123,8.64296251539337e-121,"HMOX1","3162"
"120","ENSG00000206190",542.799344243822,-4.15161137433123,0.176663911689278,6.14723209359539e-123,1.24605918644309e-120,"ATP10A","57194"
"121","ENSG00000040341",697.979129970502,-4.01537066255755,0.170973700042928,8.89204496121148e-123,1.78766546527569e-120,"STAU2","27067"
"122","ENSG00000130589",1690.57864892038,2.97046766198406,0.1267622435367,2.00346581546758e-122,3.99504114276205e-120,"HELZ2","85441"
"123","ENSG00000137831",1890.42877071648,-2.63479352869127,0.112798214959878,8.48978076359066e-122,1.67926494184345e-119,"UACA","55075"
"124","ENSG00000167378",2292.69479551996,3.37223546133332,0.144275645303247,1.09457520280449e-121,2.14773167993486e-119,"IRGQ","126298"
"125","ENSG00000124201",3798.48201074471,2.17656549425453,0.0934114002928605,2.97863582614444e-121,5.79817467522577e-119,"ZNFX1","57169"
"126","ENSG00000113249",655.228615410931,-4.90427960063133,0.210997379387082,1.79933788503828e-120,3.47498900049873e-118,"HAVCR1","26762"
"127","ENSG00000176422",1485.07455376379,2.55637846366351,0.110365730639782,7.65056969004852e-120,1.46598064677984e-117,"SPRYD4","283377"
"128","ENSG00000087074",2044.64462031004,2.94545141277162,0.127156796211848,1.05381877016359e-119,2.00364441672887e-117,"PPP1R15A","23645"
"129","ENSG00000159842",1736.25682833086,-2.56581953122384,0.111150135877704,4.74789202110763e-119,8.95781135397746e-117,"ABR","29"
"130","ENSG00000153944",960.078271204002,-3.74162089712161,0.161879562419879,5.21190613942839e-119,9.75820014364581e-117,"MSI2","124540"
"131","ENSG00000044115",7213.86658441624,-1.97752218553468,0.085680936908437,6.21072528196428e-119,1.15401862871771e-116,"CTNNA1","1495"
"132","ENSG00000197467",1322.76222630951,-3.58355605127444,0.155185247973517,8.31215276096e-119,1.53287346442155e-116,"COL13A1","1305"
"133","ENSG00000133026",1368.98742608923,-2.6323925738033,0.114465408853641,3.7185499247916e-118,6.80633388099729e-116,"MYH10","4628"
"134","ENSG00000118217",1065.59504114814,-3.0024246603265,0.130668665928967,8.27707741713067e-118,1.50379168748121e-115,"ATF6","22926"
"135","ENSG00000079385",1831.98724601478,3.49340190134745,0.151963033923426,8.82546062965626e-118,1.59163288870279e-115,"CEACAM1","634"
"136","ENSG00000196526",1218.65593131791,-3.51352999643734,0.152928312918826,1.21261058936897e-117,2.17092700185787e-115,"AFAP1","60312"
"137","ENSG00000113368",1487.76218464859,-4.39229467508133,0.19127088368538,1.50937731674618e-117,2.68264474259664e-115,"LMNB1","4001"
"138","ENSG00000156052",805.305875500468,-3.62900285715751,0.15846255129035,6.81527537377473e-117,1.20257740354369e-114,"GNAQ","2776"
"139","ENSG00000006125",7574.39363147145,-2.03792990007398,0.0891512036883496,9.22788879823492e-117,1.61666020395934e-114,"AP2B1","163"
"140","ENSG00000138162",1314.83975633277,-3.04873686769761,0.133404936204568,1.49012451383338e-116,2.59207687594265e-114,"TACC2","10579"
"141","ENSG00000118007",521.913658436109,-4.34129844449648,0.189977081957223,2.01028091474279e-116,3.47226478844341e-114,"STAG1","10274"
"142","ENSG00000130402",11817.1365931166,-2.07143112777641,0.0908722076866102,3.86049919520098e-116,6.62143103221639e-114,"ACTN4","81"
"143","ENSG00000145730",1463.21038270176,-3.28928925856326,0.144171184400485,4.25911235813248e-116,7.25439227832745e-114,"PAM","5066"
"144","ENSG00000130821",3910.65630815545,3.6452789618879,0.159777044870975,4.96220665481343e-116,8.39365811190406e-114,"SLC6A8","6535"
"145","ENSG00000171617",5745.39792099637,3.14296198982059,0.138539367453196,7.23743322546583e-115,1.21583921041781e-112,"ENC1","8507"
"146","ENSG00000077549",1426.3134728362,-2.80949927597657,0.123943022832765,8.20679627864823e-115,1.36930675051976e-112,"CAPZB","832"
"147","ENSG00000172731",792.319592990156,-3.92003718362916,0.173023160389825,1.88202073923195e-114,3.11894072102311e-112,"LRRC20","55222"
"148","ENSG00000030110",2250.53538486571,2.2826623182322,0.101091054720296,4.44397317966764e-114,7.31525705890659e-112,"BAK1","578"
"149","ENSG00000272398",6356.73482292619,-2.10805432230203,0.0933880974357341,5.77230950681767e-114,9.43849568491447e-112,"CD24","100133941"
"150","ENSG00000117724",2338.48451466373,-2.8854357367359,0.127832379033959,7.71052168263049e-114,1.2524236113237e-111,"CENPF","1063"
"151","ENSG00000133424",515.205087287404,-5.38152813537521,0.23858757248161,8.91617695603325e-114,1.43873073816202e-111,"LARGE1","9215"
"152","ENSG00000115414",2923.08499238626,-2.4998224626318,0.110852107059715,8.98585948370188e-114,1.44049787945592e-111,"FN1","2335"
"153","ENSG00000144283",1341.4885159911,-2.90588827067214,0.128834999127213,1.15229551677199e-113,1.82337755741074e-111,"PKP4","8502"
"154","ENSG00000213859",1072.41402909146,2.73755546119985,0.121409235186517,1.14878082168001e-113,1.82337755741074e-111,"KCTD11","147040"
"155","ENSG00000150093",29841.6568281342,-1.89087239017119,0.0838381040093539,1.19641820914029e-113,1.88106085997333e-111,"ITGB1","3688"
"156","ENSG00000100439",6203.995466259,2.86564076275572,0.127198314872722,2.00345997887137e-113,3.12986387909415e-111,"ABHD4","63874"
"157","ENSG00000079691",616.267473262777,-4.70258661361203,0.208646097808319,2.11683310249958e-113,3.286048449684e-111,"CARMIL1","55604"
"158","ENSG00000166689",724.668459158641,-3.58908930338513,0.159309461282422,3.22424815682914e-113,4.97365626053763e-111,"PLEKHA7","144100"
"159","ENSG00000101849",505.716420554174,-4.67333504807549,0.207807181557134,6.60773144214039e-113,1.01292393175861e-110,"TBL1X","6907"
"160","ENSG00000070214",770.328834168072,-3.84574339983892,0.171050075802743,9.41188930411491e-113,1.43382241591321e-110,"SLC44A1","23446"
"161","ENSG00000012048",832.367705947944,-3.18713774825006,0.142199470483493,3.58958979211592e-112,5.43468326118686e-110,"BRCA1","672"
"162","ENSG00000164331",1219.66871732374,3.48657757553275,0.155644539846341,5.5781962304521e-112,8.39364533400605e-110,"ANKRA2","57763"
"163","ENSG00000106992",803.852696422585,2.84566334123938,0.127228263852124,7.56646610305034e-112,1.13160191530192e-109,"AK1","203"
"164","ENSG00000109685",2898.04101616026,-2.49660762691621,0.111885347383466,1.84559771671459e-111,2.74345304229447e-109,"NSD2","7468"
"165","ENSG00000157168",1325.52595811663,-3.03993969315123,0.136315876622897,3.95880045916372e-111,5.84924691939208e-109,"NRG1","3084"
"166","ENSG00000204839",1096.52912113433,3.29304668777813,0.147628676987079,4.22058762281393e-111,6.19870374998546e-109,"MROH6","642475"
"167","ENSG00000146477",714.792234347094,-3.31194605516923,0.148603091759799,6.53742649223019e-111,9.54425354612677e-109,"SLC22A3","6581"
"168","ENSG00000213694",933.283541301907,4.70213866568965,0.211243367656884,1.11471947318647e-110,1.61779435022749e-108,"S1PR3","1903"
"169","ENSG00000102572",2839.34740571228,-2.68537489854851,0.120771846001464,1.23023405244131e-110,1.77493827083695e-108,"STK24","8428"
"170","ENSG00000186350",900.812393383756,-3.53374085014414,0.158754171258702,1.35039145230124e-110,1.93690357605804e-108,"RXRA","6256"
"171","ENSG00000112186",1024.68627995839,-2.90470537474247,0.130657525164194,1.63963223596896e-110,2.33809650300062e-108,"CAP2","10486"
"172","ENSG00000179023",2225.55994582892,2.47708441329247,0.111685695332881,3.69834103458145e-110,5.24330696850747e-108,"KLHDC7A","127707"
"173","ENSG00000111725",3115.39944974586,2.79181915939705,0.12588273269239,4.8404499518382e-110,6.82308712463997e-108,"PRKAB1","5564"
"174","ENSG00000196730",1914.11066722616,-3.83950618462761,0.173422577252904,2.03547113313529e-109,2.85280002756625e-107,"DAPK1","1612"
"175","ENSG00000143476",1203.48931280836,-2.71066938434429,0.12262657756812,2.26041259966329e-109,3.1500647631785e-107,"DTL","51514"
"176","ENSG00000188042",3711.02767784901,-2.87069357339323,0.130038759988965,5.03711188386667e-109,6.97995724155919e-107,"ARL4C","10123"
"177","ENSG00000115504",958.940881028487,-2.65442451537631,0.12039572336615,7.69188301417011e-109,1.05988098139635e-106,"EHBP1","23301"
"178","ENSG00000124067",2481.74168921851,2.26897475366841,0.103379246813302,5.94773594798942e-108,8.14972735175065e-106,"SLC12A4","6560"
"179","ENSG00000148926",1788.35450062785,4.30788317256348,0.195999154689089,6.58347953194422e-108,8.97072235999978e-106,"ADM","133"
"180","ENSG00000173473",1820.65298805887,-3.20758598907929,0.146245856851398,1.56776904155997e-107,2.12445697692494e-105,"SMARCC1","6599"
"181","ENSG00000170927",1042.29614850697,-3.70509297479453,0.168953185386151,2.0695334327551e-107,2.78898057720793e-105,"PKHD1","5314"
"182","ENSG00000140416",10020.1893819446,-1.9445934391617,0.0890005788488082,7.03633693064035e-107,9.43061398348721e-105,"TPM1","7168"
"183","ENSG00000134243",4158.90452523102,-2.71955759164648,0.124545324844353,8.5354392618705e-107,1.13776477595597e-104,"SORT1","6272"
"184","ENSG00000144749",535.299103430083,-3.64949274542069,0.166945005706435,9.36111374928023e-107,1.24108128069512e-104,"LRIG1","26018"
"185","ENSG00000187837",638.801635110007,3.37578509362772,0.154865385004835,3.3161043094563e-106,4.37280055903412e-104,"H1-2","3006"
"186","ENSG00000151240",416.309383818388,-5.02443120966652,0.230745835820547,4.00448946257073e-106,5.2523055106135e-104,"DIP2C","22982"
"187","ENSG00000082805",941.706770769528,-4.51100928637041,0.207048183577739,4.09247297874533e-106,5.33915344413228e-104,"ERC1","23085"
"188","ENSG00000172831",4691.50686740704,2.51643998548143,0.116852794457593,5.03531264429694e-104,6.5344504352736e-102,"CES2","8824"
"189","ENSG00000171877",490.842334221431,-3.84311841029581,0.178211550176574,5.93090434385008e-104,7.65617320219005e-102,"FRMD5","84978"
"190","ENSG00000164574",3448.79066273193,-2.93523913400566,0.136320713220804,7.73270147703273e-104,9.92984131555925e-102,"GALNT10","55568"
"191","ENSG00000169635",744.283141796306,2.83956067912786,0.132119766966854,1.65601651162391e-103,2.11547484273956e-101,"HIC2","23119"
"192","ENSG00000240891",632.230755860705,3.28420791064823,0.152712936946346,1.79243542995822e-103,2.27787895288007e-101,"PLCXD2","257068"
"193","ENSG00000198576",363.091475029792,5.03359790615226,0.2346593836014,4.44337823215227e-103,5.61766690206179e-101,"ARC","23237"
"194","ENSG00000181090",1275.57980509406,-2.98301666780122,0.139182835398154,6.88150618912476e-103,8.6555231949058e-101,"EHMT1","79813"
"195","ENSG00000169398",1986.55103700956,-3.28248396275553,0.15316139552087,8.8390202522913e-103,1.10609515167321e-100,"PTK2","5747"
"196","ENSG00000119685",415.022810716031,-4.38277376049461,0.204530228375835,1.01755919389822e-102,1.26688702277876e-100,"TTLL5","23093"
"197","ENSG00000197892",714.88270637726,-3.68140076945783,0.171900052555927,1.44348600896194e-102,1.78810006776816e-100,"KIF13B","23303"
"198","ENSG00000141576",1075.03645301199,-2.83875409033539,0.132789123297856,1.93186026195733e-102,2.38104204246369e-100,"RNF157","114804"
"199","ENSG00000172602",734.430861161576,4.0646137153343,0.190293137199422,4.82228776407311e-102,5.91381259947106e-100,"RND1","27289"
"200","ENSG00000088387",396.221672445817,-5.0239851614834,0.235636370245954,7.21081425688079e-102,8.79898712828434e-100,"DOCK9","23348"
"201","ENSG00000167522",2664.99712339926,-2.08374247606439,0.0978803823716402,1.07317916506521e-101,1.3030626426512e-99,"ANKRD11","29123"
"202","ENSG00000156639",1073.93940708904,-3.44353302660685,0.161589771904405,1.28863362836404e-101,1.55696142871354e-99,"ZFAND3","60685"
